item_id,slot,type,colour,style,image_path,minimum_temperature,maximum_temperature,weather_tags,section,source_term,source_url,price,currency,image_id,source_scraped_at
295370225-507-36,bottom,Slim Cropped Jeans,Green,Casual;Minimalist,data/zara_products/images/ae7d8bf1-c9cd-422f-ae1b-6af7f8a70cf5.jpg,-5,32,,MAN,jeans,https://www.zara.com/us/en/slim-cropped-jeans-p08062375.html,9.99,USD,ae7d8bf1-c9cd-422f-ae1b-6af7f8a70cf5,2024-02-19T08:54:00.941188
311282283-017-35,shoes,Denim Casual Sneakers,Blue,Casual;Sporty,data/zara_products/images/860657a0-501f-46d8-99b5-f8d16beb8ae0.jpg,-5,32,,WOMAN,jeans,https://www.zara.com/us/en/denim-casual-sneakers-p15425310.html,39.9,USD,860657a0-501f-46d8-99b5-f8d16beb8ae0,2024-02-19T09:17:48.528291
311309642-400-39,shoes,Retro Denim Sneakers,Beige,Streetwear;Casual,data/zara_products/images/117140f8-0d19-4d6c-81e3-fd38022e6d15.jpg,-5,32,,MAN,jeans,https://www.zara.com/us/en/retro-denim-sneakers-p12236320.html,45.9,USD,117140f8-0d19-4d6c-81e3-fd38022e6d15,2024-02-19T08:54:27.497552
270498791-001-35,shoes,Rhinestone Strappy Flat Sandals,White,Party;Formal,data/zara_products/images/49a683d7-36c5-4941-94fe-d074f309b634.jpg,18,40,warm,WOMAN,shoes,https://www.zara.com/us/en/rhinestone-strappy-flat-sandals-p13602210.html,12.99,USD,49a683d7-36c5-4941-94fe-d074f309b634,2024-02-19T09:23:58.077578
267134635-001-39,shoes,Rubberized Heel Sneakers,White,Minimalist;Casual,data/zara_products/images/8bc7dfd2-19f8-41eb-a8b6-ce44fdfdad26.jpg,-5,32,,MAN,shoes,https://www.zara.com/us/en/rubberized-heel-sneakers-p12213220.html,9.99,USD,8bc7dfd2-19f8-41eb-a8b6-ce44fdfdad26,2024-02-19T09:01:17.278980
311287174-800-35,shoes,Quilted Nylon High Tops,Black,Casual;Streetwear,data/zara_products/images/172b8130-cd13-44a8-a6e3-910f0d28de18.jpg,-5,32,,WOMAN,tops,https://www.zara.com/us/en/quilted-nylon-high-tops-p15601310.html,69.9,USD,172b8130-cd13-44a8-a6e3-910f0d28de18,2024-02-19T09:12:52.529597
276789002-802-38,shoes,Knit Running Sneakers,White,Minimalist;Outdoor,data/zara_products/images/b8c0a1fa-ca7c-48ab-95ba-2c03173d9483.jpg,-5,32,,MAN,tracksuits,https://www.zara.com/us/en/knit-running-sneakers-p12315220.html,15.99,USD,b8c0a1fa-ca7c-48ab-95ba-2c03173d9483,2024-02-19T08:58:48.986054
311282461-084-35,shoes,Denim Casual Sneakers,Black,Casual;Sporty,data/zara_products/images/7fc3d0ce-c545-4ddb-bbd4-622b32686818.jpg,-5,32,,WOMAN,jeans,https://www.zara.com/us/en/denim-casual-sneakers-p15420310.html,49.9,USD,7fc3d0ce-c545-4ddb-bbd4-622b32686818,2024-02-19T09:18:22.395623
267181879-800-39,shoes,Leather Penny Loafers,Black,Minimalist;Casual,data/zara_products/images/d837afbb-e2d6-460c-a13d-f25f9b5512e1.jpg,-5,32,,MAN,shoes,https://www.zara.com/us/en/leather-penny-loafers-p12602220.html,17.99,USD,d837afbb-e2d6-460c-a13d-f25f9b5512e1,2024-02-19T08:59:54.808375
276620932-098-35,shoes,Faux Patent Leather Heeled Shoes,Beige,Party;Casual,data/zara_products/images/38c0a540-a229-42c3-bc46-6b02cdb088a7.jpg,-5,32,,WOMAN,shoes,https://www.zara.com/us/en/faux-patent-leather-heeled-shoes-p12235210.html,19.99,USD,38c0a540-a229-42c3-bc46-6b02cdb088a7,2024-02-19T09:22:10.279166
311282850-800-39,shoes,Chunky Sole Penny Loafers With Metallic Detail,Blue,Streetwear;Casual,data/zara_products/images/ffa365b5-679c-45a5-976d-de9e7048a80d.jpg,-5,32,,MAN,tracksuits,https://www.zara.com/us/en/chunky-sole-penny-loafers-with-metallic-detail-p12603320.html,69.9,USD,ffa365b5-679c-45a5-976d-de9e7048a80d,2024-02-19T08:58:38.517513
